iter	RMSE
155	0.1898842721
156	0.1898736295
157	0.1897822713
158	0.1895384684
159	0.1892431375
160	0.1892430808
161	0.1892386856
162	0.1892335697
163	0.1891634852
164	0.18902795
165	0.1889560207
166	0.1888790966
167	0.1888784779
168	0.1888665821
169	0.1888665142
170	0.1886992451
171	0.1883786056
172	0.1883323134
173	0.188133296
174	0.1881234391
175	0.1881226358
176	0.1878975512
177	0.1878024515
178	0.187761029
179	0.1876756419
180	0.1876728357
181	0.1876689075
182	0.1876188295
183	0.1873304146
184	0.1872991317
185	0.1872206207
186	0.1870747877
187	0.1869659874
188	0.1868587482
189	0.1865752224
190	0.1864826796
191	0.1863788443
192	0.1863241001
193	0.1860352906
194	0.1859878346
195	0.1857337933
196	0.1855733475
197	0.1855421201
198	0.1853613376
199	0.1852735788
200	0.1851231517
201	0.1848763137
202	0.1848615368
203	0.1848101665
204	0.1847514528
205	0.1846719899
206	0.1846262771
207	0.1844589567
208	0.1843779991
209	0.1841529787
210	0.1841453025
211	0.1840054037
212	0.1839125215
213	0.1837981593
214	0.1836702801
215	0.1836061003
216	0.183504389
217	0.1834891487
218	0.1834346289
219	0.1834255573
220	0.1833720124
221	0.1831713473
222	0.1831445529
223	0.1831346101
224	0.1830575876
225	0.1829487821
226	0.1828582971
227	0.1827834787
228	0.1827750636
229	0.1826226136
230	0.1826107073
231	0.1825943774
232	0.1824275257
233	0.1824213512
234	0.1824201178
235	0.182303405
236	0.1822967666
237	0.1822289231
238	0.1821813884
239	0.1820566724
240	0.1819926614
241	0.1818846053
242	0.1817345834
243	0.1816399727
244	0.1815963388
245	0.1815117208
246	0.1814317407
247	0.1814048502
248	0.1813842174
249	0.1813690543
250	0.1812805413
251	0.1811535008
252	0.1810306475
253	0.1809519416
254	0.1808094583
255	0.1807685104
256	0.1807597448
257	0.1807122884
258	0.1805536365
259	0.1805220348
260	0.1804299113
261	0.1804129792
262	0.1803857038
263	0.1802910215
264	0.1802843904
265	0.1802619361
266	0.1801420757
267	0.1801088402
268	0.1799079572
269	0.1798038858
270	0.1797856294
271	0.1797636162
272	0.179685364
273	0.1796504981
274	0.1796445814
275	0.1796082886
276	0.1795582103
277	0.1794797559
278	0.1794455047
279	0.179355753
280	0.1792889087
281	0.1792162536
282	0.1791440429
283	0.1790847155
284	0.1790349272
285	0.1789794077
286	0.1789649001
287	0.1789593971
288	0.1789236006
289	0.1789100541
290	0.1787984863
291	0.178738739
292	0.178678437
293	0.1786308537
294	0.178552766
295	0.1784283325
296	0.1783866153
297	0.1783646843
298	0.1782964592
299	0.1781714282
300	0.1781103959
301	0.1779888439
302	0.1779816223
303	0.1779734652
304	0.1779527542
305	0.1778739184
306	0.1777757406
307	0.1777715099
308	0.1776682009
309	0.1776349742
310	0.1775431844
311	0.1774700314
312	0.1774420874
313	0.1773554329
314	0.1773185797
315	0.177194472
316	0.1771138548
317	0.1770750442
318	0.177047648
319	0.1770183533
320	0.1769600959
321	0.1768954594
322	0.1768553062
323	0.1768153559
324	0.1767236471
325	0.1766334096
326	0.1765979012
327	0.176596916
328	0.1765212713
329	0.1765148202
330	0.1763874208
331	0.1763815204
332	0.1762960474
333	0.1762042277
334	0.1761859886
335	0.176126462
336	0.1761040298
337	0.1760787425
338	0.1759399497
339	0.1759148431
340	0.1758704399
341	0.1757628395
342	0.1756417431
343	0.1755850296
344	0.1754730314
345	0.1753573274
346	0.1752293908
347	0.1751568493
348	0.1750920052
349	0.1750484626
350	0.174937602
351	0.174915374
352	0.1749132128
353	0.1749075217
354	0.1748469152
355	0.1747522787
356	0.1746097103
357	0.1745338072
358	0.1744846724
359	0.1743967968
360	0.1743073819
361	0.1741966946
362	0.174111223
363	0.1739752824
364	0.1738393477
365	0.1737711062
366	0.1737118324
367	0.1736380541
368	0.1735761756
369	0.1734846515
370	0.1734500326
371	0.1732977261
372	0.1732730435
373	0.1732541182
374	0.1732044342
375	0.1731929822
376	0.1731335888
377	0.1730554361
378	0.1729676891
379	0.1728628023
380	0.1727601605
381	0.1727332149
382	0.1726824258
383	0.1726746041
384	0.1725460623
385	0.1724665353
386	0.1723455095
387	0.1723381662
388	0.1723063158
389	0.1722467516
390	0.1721744785
391	0.1721620997
392	0.17204232
393	0.1720057608
394	0.1719953381
395	0.1718639177
396	0.1718275394
397	0.1716310756
398	0.1715255522
399	0.1714936975
400	0.1714698673
401	0.171409441
402	0.1713697868
403	0.1712167549
404	0.1710588408
405	0.1709254852
406	0.1707997375
407	0.1706545056
408	0.1706055011
409	0.1705575591
410	0.170471816
411	0.1703673972
412	0.1703645323
413	0.1703033802
414	0.170284033
415	0.1702496713
416	0.1701533043
417	0.1701378522
418	0.1700279945
419	0.170008996
420	0.1699191801
421	0.169834579
422	0.1697696535
423	0.1696736599
424	0.169616818
425	0.1695400014
426	0.1694521558
427	0.1693288022
428	0.1691896004
429	0.1690824789
430	0.1690222524
431	0.1689463463
432	0.1688557499
433	0.1687806024
434	0.1686121871
435	0.1685495849
436	0.1684503231
437	0.1682615534
438	0.1682004207
439	0.1681416919
440	0.168129131
441	0.1680917405
442	0.168030899
443	0.1679258741
444	0.16783441
445	0.167808614
446	0.1677222865
447	0.1676546332
448	0.1675729919
449	0.1675201211
450	0.1674729724
451	0.1674096279
452	0.1673162426
453	0.1673154791
454	0.1672772738
455	0.1672013876
456	0.1671601165
457	0.1670597593
458	0.1669587427
459	0.1669389515
460	0.1667752869
461	0.1666502176
462	0.1666140151
463	0.1665564298
464	0.1664925904
465	0.1664449179
466	0.1664224383
467	0.1663633055
